,id,precision,recall,f1,tp,fp,fn,num_training_edges,num_edges
179,64061,0.36,1.00,0.52,14012,25458,0,2048,4096
180,65084,0.41,1.00,0.58,12558,17851,12,1945,3891
181,69000,0.20,1.00,0.33,8242,33125,0,1196,2393
182,69007,0.29,1.00,0.45,12720,30951,0,1792,3584
183,69022,0.11,1.00,0.20,4226,34164,2,674,1348
184,70011,0.29,1.00,0.45,2969,7371,0,390,781
185,70090,0.14,1.00,0.24,4593,28611,0,777,1554
186,71076,0.33,1.00,0.50,11540,23349,1,1929,3858
187,71099,0.33,1.00,0.50,12113,24589,3,1982,3965
188,77062,0.21,1.00,0.35,11371,42470,8,1685,3370
189,78098,0.19,1.00,0.32,9220,39178,6,1467,2935
190,79073,0.22,1.00,0.36,12222,42775,6,1963,3926
191,80085,0.33,1.00,0.49,9621,19722,0,1396,2793
192,80090,0.23,1.00,0.38,6443,21140,0,865,1731
193,8068,0.30,1.00,0.47,7402,16930,2,1121,2243
194,81066,0.30,1.00,0.46,10325,24452,0,1371,2742
195,81090,0.27,1.00,0.42,8720,23629,0,1415,2830
196,81095,0.43,1.00,0.60,12645,16803,4,2002,4005
197,87015,0.18,1.00,0.31,5364,23898,0,831,1663
198,92014,0.44,1.00,0.61,14660,18945,5,2171,4343
199,94095,0.26,1.00,0.41,17254,50369,1,2282,4565
200,97010,0.19,1.00,0.32,6855,29027,1,776,1553
