,id,best_precision,mean_precision,best_recall,mean_recall,best_f1,mean_f1,annotator_0_precision,annotator_0_recall,annotator_0_f1,annotator_0_tp,annotator_0_fp,annotator_0_fn,annotator_1_precision,annotator_1_recall,annotator_1_f1,annotator_1_tp,annotator_1_fp,annotator_1_fn,annotator_2_precision,annotator_2_recall,annotator_2_f1,annotator_2_tp,annotator_2_fp,annotator_2_fn,annotator_3_precision,annotator_3_recall,annotator_3_f1,annotator_3_tp,annotator_3_fp,annotator_3_fn,annotator_4_precision,annotator_4_recall,annotator_4_f1,annotator_4_tp,annotator_4_fp,annotator_4_fn,annotator_5_precision,annotator_5_recall,annotator_5_f1,annotator_5_tp,annotator_5_fp,annotator_5_fn,annotator_6_precision,annotator_6_recall,annotator_6_f1,annotator_6_tp,annotator_6_fp,annotator_6_fn,annotator_7_precision,annotator_7_recall,annotator_7_f1,annotator_7_tp,annotator_7_fp,annotator_7_fn
136,253092,0.7818930041152263,0.4426337448559671,0.3721112416764591,0.29128964361854326,0.5042462845010616,0.3451052842241376,0.3325102880658436,0.30081906180193596,0.3158717748240813,404,811,939,0.3333333333333333,0.2997779422649889,0.3156664068589244,405,810,946,0.7818930041152263,0.3721112416764591,0.5042462845010616,950,265,1603,0.36790123456790125,0.26830732292917164,0.31030892051371056,447,768,1219,0.39753086419753086,0.21543264942016058,0.27943303442291006,483.0,732.0,1759,,,,,,,,,,,,,,,,,,
137,147077,0.606920022688599,0.4333522404991491,0.2975206611570248,0.271970745971405,0.3805120910384068,0.33101806803671013,0.33919455473624505,0.27970065481758655,0.3065880543450398,598,1165,1540,0.3533749290981282,0.24959935897435898,0.29255693824841517,623,1140,1873,0.41803743618831535,0.25590277777777776,0.3174671548567736,737,1026,2143,0.606920022688599,0.2771302771302771,0.3805120910384068,1070,693,2791,0.4492342597844583,0.2975206611570248,0.3579661016949153,792.0,971.0,1870,,,,,,,,,,,,,,,,,,
138,249021,0.7319587628865979,0.5353951890034364,0.21794871794871795,0.17901697947398165,0.3027073118738009,0.26267412176696536,0.3680412371134021,0.21794871794871795,0.27377300613496935,357,613,1281,0.6123711340206186,0.17267441860465116,0.2693877551020408,594,376,2846,0.4298969072164949,0.1598926380368098,0.23309111235327,417,553,2191,0.5876288659793815,0.12624584717607973,0.2078395624430264,570,400,3945,0.7319587628865979,0.19080892233270627,0.3027073118738009,710.0,260.0,3011,0.4824742268041237,0.20653133274492497,0.28924598269468477,468.0,502.0,1798,,,,,,,,,,,,
139,2018,0.7726111394992335,0.33914154317833417,0.5691699604743083,0.4306526914657203,0.6554676492901268,0.36367825070070275,0.7726111394992335,0.5691699604743083,0.6554676492901268,3024,890,2289,0.23658661216147164,0.38044371405094496,0.29174543163201005,926,2988,1508,0.29253960143076135,0.4611357229158276,0.35798030326715646,1145,2769,1338,0.17577925396014307,0.3747276688453159,0.23930434782608695,688,3226,1148,0.21819110884006132,0.367786391042205,0.27389352148813345,854.0,3060.0,1468,,,,,,,,,,,,,,,,,,
140,207038,0.6888320545609549,0.29309462915601026,0.2127995786146958,0.09344282100795565,0.32515090543259556,0.13918795122324737,0.19011082693947143,0.0776192133658197,0.11023232822540781,223,950,2650,0.11679454390451834,0.07180293501048218,0.08893216488153198,137,1036,1771,0.0,0.0,0.0,0,1173,1065,0.4697357203751066,0.10499237804878049,0.17162435757670147,551,622,4697,0.6888320545609549,0.2127995786146958,0.32515090543259556,808.0,365.0,2989,,,,,,,,,,,,,,,,,,
141,79073,0.6507014997581035,0.35869790586771716,0.422623723487824,0.3751971930895825,0.5124297552147823,0.35981426367637404,0.27697145621673924,0.29918996603083353,0.28765230498681066,1145,2989,2682,0.2980164489598452,0.3888888888888889,0.3374417967680088,1232,2902,1936,0.3064828253507499,0.3802521008403361,0.339405304045004,1267,2867,2065,0.2793904208998549,0.34601557819053325,0.3091541755888651,1155,2979,2183,0.25616835994194487,0.37539879475363347,0.30452911574406905,1059.0,3075.0,1762,0.6507014997581035,0.422623723487824,0.5124297552147823,2690.0,1444.0,3675,0.4431543299467828,0.41401129943502823,0.4280873933870779,1832.0,2302.0,2593.0,,,,,,
142,77062,0.5441947565543072,0.2608146067415731,0.3341820496499045,0.21709985892091715,0.3613214039917413,0.2241499787038208,0.30749063670411986,0.24728915662650602,0.2741235392320534,821,1849,2499,0.04719101123595506,0.1206896551724138,0.06785137318255251,126,2544,918,0.5441947565543072,0.2658251006220271,0.35717797443461163,1453,1217,4013,0.04906367041198502,0.12535885167464114,0.07052489905787347,131,2539,914,0.044194756554307116,0.11324376199616124,0.06357758620689655,118.0,2552.0,924,0.39325842696629215,0.3341820496499045,0.3613214039917413,1050.0,1620.0,2092,0.2883895131086142,0.2674539770753734,0.2775274824292665,770.0,1900.0,2109.0,0.41273408239700377,0.26275631855030995,0.3210955710955711,1102.0,1568.0,3092.0
143,306051,0.8761061946902655,0.6658238516645597,0.21055179090029041,0.18169154120837952,0.30806065442936953,0.2831512205539527,0.549936788874842,0.21055179090029041,0.3045152257612881,435,356,1631,0.461441213653603,0.14330585001963095,0.21869382863990416,365,426,2182,0.8078381795195955,0.18148253337120138,0.29638218923933213,639,152,2882,0.5676359039190898,0.1814874696847211,0.2750382848392037,449,342,2025,0.7319848293299621,0.19508086253369272,0.30806065442936953,579.0,212.0,2389,0.8761061946902655,0.17824074074074073,0.2962171404146185,693.0,98.0,3195,,,,,,,,,,,,
144,134067,0.3407221206581353,0.28022166361974404,0.7376402790415529,0.7071798805031241,0.46189591078066916,0.40003965789304713,0.27787934186471663,0.7376402790415529,0.4036849531081418,2432,6320,865,0.2426873857404022,0.6932114882506527,0.3595125253893027,2124,6628,940,0.27776508226691043,0.6805711086226204,0.39451476793248946,2431,6321,1141,0.3072440585009141,0.6973547717842323,0.42655456852791873,2689,6063,1167,0.3407221206581353,0.7168269230769231,0.46189591078066916,2982.0,5770.0,1178,0.23503199268738573,0.7174747122427625,0.35407522161976074,2057.0,6695.0,810,,,,,,,,,,,,
145,347031,0.10294117647058823,0.038235294117647055,0.0028169014084507044,0.0011126152758054804,0.005459508644222021,0.002161829126628126,0.0,0.0,0.0,0,68,3090,0.0,0.0,0.0,0,68,3687,0.10294117647058823,0.002746174970576697,0.00534963698891861,7,61,2542,0.0,0.0,0.0,0,68,3094,0.08823529411764706,0.0028169014084507044,0.005459508644222021,6.0,62.0,2124,,,,,,,,,,,,,,,,,,
